DecisionTree,Knn,SVM
0.621865356865357,0.669043456543457,0.413237873237873
0.708333333333333,0.633333333333333,0.766666666666667
0.705724538619276,0.749965823650034,0.759125085440875
0.829842312137079,0.841843897576008,0.427141323422408
0.696333521550913,0.650763222284961,0.467955957086392
0.864715219421102,0.841437908496732,0.850102707749767
0.970833333333333,0.977777777777778,0.977777777777778
0.935341789992953,0.935228531158764,0.95589952682976
0.913216783216783,0.947853535353535,0.673315850815851
0.959898510754793,0.947825904028518,0.865959054365058
